00 = USA I
93 = Australia
94 = New Zealand
779 = Argentina
773 = Uruguay
30 = France I
84 = Spain
45 = Japan
777 = Bolivia
80 = Italy I
73 = Sweden
40 = Germany
31 = France II
254 = Ucrania
